user_id,age,province,device_imei,ip_address,registration_date,kyc_status,profile_type,account_age_days,transaction_volume_7d,device_change_count,ip_change_count,registered_location,gps_location_last_login,location_mismatch_flag,transaction_id,transaction_amount,transaction_time,transaction_type,static_risk_score,kyc_upgrade_trigger,document_verified,kyc_updated_at,dynamic_risk_score,total_risk_score,total_risk_tier,is_fraud
1465,46,17,1008,456,488,1,0,215,119370.03,1,2,17,45,True,93,41266.93,72,1,7,0,True,182,6.0366178,13.036617755889893,High,0
497,38,12,845,942,294,0,1,421,4612.49,1,0,12,35,True,1166,732787.05,1818,1,2,1,False,329,5.693456,7.693456172943115,Medium,0
258,20,12,666,517,531,0,1,168,90099.85,0,3,12,22,True,1723,1368497.63,920,2,6,2,False,329,13.797988,19.79798793792725,High,1
156,64,23,1035,510,332,0,1,381,36447.22,1,1,23,1,True,594,1939172.3,724,1,1,0,False,329,3.441284,4.441283941268921,Low,1
201,31,28,1570,634,86,0,1,642,114088.79,3,4,28,4,True,1238,1604413.74,569,0,8,2,False,329,5.1492543,13.149254322052002,High,1
1092,18,25,1883,1275,87,0,1,641,163092.29,3,1,25,18,True,618,1700092.15,606,1,0,1,False,329,2.6087995,2.608799457550049,Low,1
1806,52,25,111,968,415,0,1,293,76585.37,3,1,25,36,True,480,221870.55,703,0,2,1,False,329,5.3360534,7.336053371429443,Medium,0
1502,49,4,869,801,682,0,1,7,120883.48,1,5,4,34,True,246,1742934.03,1917,1,9,2,False,329,3.8151932,12.815193176269531,High,1
1495,18,3,1243,1039,6,0,1,725,163602.95,1,2,3,28,True,1183,675296.58,1319,2,5,2,False,329,4.6103964,9.610396385192873,Medium,0
745,29,5,507,179,225,0,1,497,60175.66,0,0,5,8,True,1816,1953232.25,955,1,6,2,False,329,3.4478996,9.447899580001833,Medium,1
1321,36,35,1684,753,105,0,1,623,89556.63,1,0,35,24,True,248,475351.32,669,2,5,2,False,329,3.3606193,8.360619306564331,Medium,0
593,51,46,1865,1161,624,0,1,69,18057.95,1,1,46,13,True,681,651985.21,1819,2,9,1,False,329,3.8473415,12.847341537475586,High,0
1680,37,49,1290,866,84,0,1,644,138187.55,1,1,49,38,True,1842,418222.33,1965,2,9,1,False,329,4.521646,13.52164602279663,High,0
1266,43,35,1409,1294,542,0,1,157,199250.74,3,4,35,7,True,707,1284099.09,754,2,0,0,False,329,4.4781055,4.478105545043945,Low,1
841,37,30,1224,128,187,1,0,536,194732.77,0,2,30,10,True,684,448616.19,42,0,3,0,True,137,3.1770554,6.177055358886719,Medium,0
986,37,49,564,605,491,1,0,211,144187.98,0,3,49,8,True,267,1946023.81,1756,0,2,1,True,178,6.778811,8.778810977935791,Medium,1
47,38,32,513,961,117,0,1,610,98503.54,0,2,32,8,True,1991,87303.18,1418,1,4,1,False,329,1.4129499,5.412949919700623,Medium,0
214,41,28,44,1758,110,0,1,617,114458.49,1,1,28,2,True,1579,633912.32,927,1,8,1,False,329,6.2508097,14.250809669494627,High,0
1363,20,15,344,1457,651,0,1,40,198010.77,0,5,15,37,True,1273,593090.64,376,1,2,2,False,329,3.2538939,5.253893852233887,Medium,0
1746,24,19,676,997,47,0,1,683,140393.38,2,1,19,48,True,1481,1344085.07,972,2,8,1,False,329,3.811668,11.811667919158936,High,1
231,39,18,535,440,530,0,1,169,7469.64,1,0,18,18,False,264,1655755.22,484,0,6,0,False,329,9.752665,15.75266456604004,High,0
177,49,17,1775,389,319,0,1,396,127485.98,2,2,17,40,True,59,1488110.88,1744,1,4,2,False,329,8.383031,12.383030891418455,High,1
1190,40,34,1274,1091,632,0,1,61,11638.72,2,0,34,22,True,40,1320428.73,1046,0,0,1,False,329,3.4395769,3.4395768642425537,Low,1
122,39,12,1939,1991,361,0,1,349,31729.29,0,1,12,41,True,1565,81553.53,510,1,3,0,False,329,8.26055,11.260549545288086,High,0
1340,38,49,937,65,371,0,1,338,86770.33,1,1,49,0,True,953,30707.55,287,2,9,2,False,329,2.3052633,11.30526328086853,High,0
929,33,19,500,1031,74,0,1,654,5302.26,2,2,19,33,True,1973,1641296.89,1934,2,0,0,False,329,4.264319,4.264318943023682,Low,1
215,61,48,1458,1104,563,0,1,134,75451.82,0,3,48,39,True,738,681315.08,389,2,8,0,False,329,12.411022,20.411022186279297,High,0
